SEASON_YEAR,PLAYER_ID,FIRST_NAME,LAST_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
2001,12033,Adam,Allenspach,C,6' 11.5'',,259,7' 0.5'',8' 11'',12.4,,
2001,2240,Gilbert,Arenas,SG,6' 2.25'',,199,6' 9.5'',8' 3.5'',5.3,,
2001,2220,Brandon,Armstrong,SG,6' 3.5'',,188,6' 9.5'',8' 3.5'',9.3,,
2001,2203,Shane,Battier,SF-PF,6' 8.25'',,229,6' 10.5'',8' 9'',9.3,,
2001,12034,Cookie,Belcher,SG-PG,6' 3'',,206,6' 8.5'',8' 3'',5.3,,
2001,2294,Charlie,Bell,PG,6' 2.5'',,200,6' 7.5'',8' 1.5'',6.7,,
2001,2257,Ruben,Boumtje-Boumtje,C,6' 11.5'',,245,7' 4'',9' 3'',6.0,,
2001,12035,Calvin,Bowman,PF,6' 8.75'',,214,6' 11.5'',8' 8'',8.6,,
2001,2214,Michael,Bradley,PF,6' 9.5'',,227,7' 1.5'',8' 11'',9.3,,
2001,2249,Jamison,Brewer,PG,6' 2.5'',,178,6' 8.75'',8' 6.5'',6.7,,
2001,2198,Kwame,Brown,PF-C,6' 10'',,243,7' 1'',9' 0'',8.9,,
2001,2245,Damone,Brown,SF,6' 8.25'',,202,6' 11.75'',8' 8.5'',6.7,,
2001,12031,SirValiant,Brown,PG,5' 11'',,176,6' 4'',7' 8.5'',6.7,,
2001,12032,Ryan,Carroll,SF-SG,6' 4'',,202,6' 8.25'',8' 3'',8.0,,
2001,2199,Tyson,Chandler,SF-PF,6' 11.5'',,224,7' 3'',9' 2'',6.7,,
2001,2251,Eric,Chenowith,C,7' 1'',,264,7' 4'',9' 3'',12.9,,
2001,2439,Sam,Clancy,PF,6' 6.25'',,242,7' 2.75'',8' 11'',8.0,,
2001,12036,Gyasi,Cline-Heard,PF,6' 6.25'',,231,6' 11.5'',8' 7'',8.0,,
2001,2215,Jason,Collins,PF-C,6' 10.25'',,251,7' 4.5'',9' 2'',12.9,,
2001,2260,Jarron,Collins,C-PF,6' 9.25'',,252,7' 3'',8' 8'',15.2,,
2001,2241,Omar,Cook,PG,5' 11.5'',,189,6' 5.5'',7' 8'',5.5,,
2001,2201,Eddy,Curry,C,6' 10.5'',,301,7' 6.5'',9' 3'',16.5,,
2001,12037,Tate,Decker,SF,6' 9.25'',,218,6' 11.75'',8' 11'',13.6,,
2001,2205,DeSagana,Diop,C,6' 10'',,314,7' 6.5'',9' 5'',21.0,,
2001,12038,Robb,Dryden,C,7' 1'',,241,7' 2.5'',9' 2.25'',8.0,,
2001,2230,Maurice,Evans,SG,6' 4.25'',,221,6' 8'',8' 5'',4.0,,
2001,12039,Anthony,Evans,PF,6' 6'',,267,6' 11.5'',8' 5.5'',12.9,,
2001,12150,Benjamin,Eze,C-PF,6' 8.75'',,232,7' 6'',9' 1'',3.9,,
2001,2386,Kimani,Ffriend,C-PF,6' 9.5'',,228,6' 10.75'',9' 0.5'',11.7,,
2001,2228,Alton,Ford,PF,6' 8.25'',,271,6' 10.5'',8' 6.5'',8.0,,
2001,2218,Joseph,Forte,SG,6' 3.5'',,193,6' 6.5'',8' 4.5'',,,
2001,-1,Jason,Gardner,PG,5' 9.75'',,188,6' 1.25'',7' 8.5'',8.0,,
2001,12151,Jerry,Green,PG-SG,6' 1.5'',,179,6' 6.25'',8' 3'',5.5,,
2001,12152,Kenny,Gregory,SF,6' 3.5'',,200,6' 11.25'',8' 5'',6.7,,
2001,2204,Eddie,Griffin,PF-SF,6' 9.25'',,222,7' 3'',9' 2'',4.0,,
2001,2239,Trenton,Hassell,SG-SF,6' 4.25'',,205,6' 8'',8' 3.5'',5.3,,
2001,2213,Kirk,Haston,PF-SF,6' 8'',,242,7' 0.25'',8' 10'',10.5,,
2001,12153,Charles,Hathaway,C,6' 8'',,274,7' 2'',8' 11.5'',,,
2001,2217,Brendan,Haywood,C,6' 11.75'',,266,7' 6.5'',9' 5.5'',12.9,,
2001,12154,Michael,Hicks,SG,6' 4'',,197,6' 9.25'',8' 4.5'',7.3,,
2001,2212,Steven,Hunter,C-PF,6' 10.25'',,224,7' 4'',9' 0'',5.3,,
2001,12155,Andre,Hutson,PF,6' 8.25'',,244,6' 11.75'',8' 9.5'',11.7,,
2001,12156,Nate,James,SF,6' 4.75'',,196,6' 10.75'',8' 7'',6.0,,
2001,2210,Richard,Jefferson,SF,6' 7.25'',,223,7' 0'',8' 7'',6.7,,
2001,2798,Horace,Jenkins,PG,5' 11.75'',,171,6' 5.25'',8' 1'',6.0,,
2001,12157,Darrell,Johns,C,6' 11.25'',,278,7' 5'',9' 3.5'',19.1,,
2001,2207,Joe,Johnson,SF-SG,6' 6.75'',,226,6' 9'',8' 9'',6.7,,
2001,2256,Ken,Johnson,C,6' 10.75'',,227,7' 4'',9' 1.5'',9.9,,
2001,12158,Darren,Kelly,SG-PG,6' 2'',,178,6' 6.75'',8' 4'',6.7,,
2001,2253,Sean,Lampley,SF,6' 5.5'',,213,6' 9.25'',8' 5'',8.0,,
2001,12159,Zach,Marbury,PG-SG,6' 1.25'',,183,6' 3.5'',8' 0.5'',6.7,,
2001,12160,Mike,Mardesich,C-PF,6' 10.25'',,247,7' 0.5'',9' 0.5'',13.6,,
2001,12161,DeMarcus,Minor,SG,6' 3.25'',,207,6' 8.25'',8' 3.5'',6.7,,
2001,200081,Jamario,Moon,SF,6' 6.5'',,185,6' 11.5'',8' 7'',5.3,,
2001,2211,Troy,Murphy,PF,6' 9.75'',,230,6' 11'',8' 9.5'',11.7,,
2001,12162,Troy,Ostler,PF-SF,6' 8.75'',,200,7' 1.5'',8' 10.5'',8.0,,
2001,40046,Lazaros,Papadopoulos,C-PF,6' 10.25'',,227,7' 2.5'',9' 2.5'',11.7,,
2001,12164,Rashad,Phillips,PG,5' 9'',,166,6' 1.5'',7' 8'',12.4,,
2001,12165,Demetrius,Porter,PG,5' 10.75'',,178,6' 2.75'',7' 10'',12.4,,
2001,12166,Martin,Rancik,PF-SF,6' 8.75'',,230,6' 8'',8' 6.5'',8.0,,
2001,2202,Jason,Richardson,SF-SG,6' 4.75'',,213,6' 11.5'',8' 6.5'',5.3,,
2001,2369,Norman,Richardson,SG,6' 3.5'',,180,6' 4.5'',8' 3'',6.0,,
2001,2219,Jeryl,Sasser,PG-SG,6' 5.5'',,194,6' 10.5'',8' 7.5'',6.7,,
2001,12167,Kenny,Satterfield,PG,6' 1'',,176,6' 4.5'',8' 2'',6.7,,
2001,2243,Brian,Scalabrine,PF-SF,6' 8.75'',,241,6' 9.75'',8' 9.5'',13.6,,
2001,12168,Lee,Scruggs,PF-SF,6' 10.25'',,209,7' 5.75'',9' 2.5'',10.5,,
2001,2250,Bobby,Simmons,SF,6' 6.25'',,235,7' 0.25'',8' 9'',6.7,,
2001,2226,Will,Solomon,PG-SG,5' 11.75'',,172,6' 9.5'',8' 3.5'',4.0,,
2001,12169,Greg,Stevenson,SF,6' 3.75'',,215,7' 0.5'',8' 6'',7.3,,
2001,12170,Damone,Thornton,PF,6' 6.75'',,235,7' 1.75'',8' 7.75'',8.0,,
2001,2224,Jamaal,Tinsley,PG,6' 0.75'',,199,6' 7.5'',8' 1.5'',13.6,,
2001,12171,Tory,Walker,SF,6' 6.75'',,187,6' 11.25'',8' 8.5'',6.7,,
2001,12172,Souleymane,Wane,C,6' 8.5'',,235,7' 5'',9' 1'',11.2,,
